Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    8.5650   2.3300   8.6000   0.0384   0.4488  0.26498E+03  0.26498E+03  0.00000E+00  0.24706E+03  0.82463E+02  0.00000E+00  0.16460E+03  0.43052E+00
    8.5650   2.3400   8.6000   0.0386   0.4507  0.26529E+03  0.26529E+03  0.00000E+00  0.24635E+03  0.81647E+02  0.00000E+00  0.16470E+03  0.43062E+00
    8.5650   2.3500   8.6000   0.0388   0.4526  0.26561E+03  0.26561E+03  0.00000E+00  0.24565E+03  0.80841E+02  0.00000E+00  0.16481E+03  0.43072E+00
    8.5650   2.3600   8.6000   0.0390   0.4545  0.26593E+03  0.26593E+03  0.00000E+00  0.24496E+03  0.80045E+02  0.00000E+00  0.16491E+03  0.43082E+00
    8.5650   2.3700   8.6000   0.0393   0.4565  0.26625E+03  0.26625E+03  0.00000E+00  0.24428E+03  0.79259E+02  0.00000E+00  0.16502E+03  0.43093E+00
    8.5650   2.3800   8.6000   0.0395   0.4584  0.26658E+03  0.26658E+03  0.00000E+00  0.24361E+03  0.78484E+02  0.00000E+00  0.16513E+03  0.43103E+00
    8.5650   2.3900   8.6000   0.0397   0.4603  0.26690E+03  0.26690E+03  0.00000E+00  0.24294E+03  0.77702E+02  0.00000E+00  0.16524E+03  0.43113E+00
    8.5650   2.4000   8.6000   0.0400   0.4622  0.26723E+03  0.26723E+03  0.00000E+00  0.24230E+03  0.76946E+02  0.00000E+00  0.16535E+03  0.43123E+00
    8.5650   2.4100   8.6000   0.0402   0.4642  0.26756E+03  0.26756E+03  0.00000E+00  0.24166E+03  0.76199E+02  0.00000E+00  0.16546E+03  0.43133E+00
    8.5650   2.4200   8.6000   0.0404   0.4661  0.26790E+03  0.26790E+03  0.00000E+00  0.24103E+03  0.75462E+02  0.00000E+00  0.16557E+03  0.43144E+00
    8.5650   2.4300   8.6000   0.0407   0.4680  0.26823E+03  0.26823E+03  0.00000E+00  0.24041E+03  0.74734E+02  0.00000E+00  0.16568E+03  0.43154E+00
    8.5650   2.4400   8.6000   0.0409   0.4700  0.26857E+03  0.26857E+03  0.00000E+00  0.23979E+03  0.74015E+02  0.00000E+00  0.16578E+03  0.43164E+00
    8.5650   2.4500   8.6000   0.0411   0.4719  0.26891E+03  0.26891E+03  0.00000E+00  0.23920E+03  0.73306E+02  0.00000E+00  0.16589E+03  0.43175E+00
    8.5650   2.4600   8.6000   0.0414   0.4738  0.26925E+03  0.26925E+03  0.00000E+00  0.23861E+03  0.72604E+02  0.00000E+00  0.16601E+03  0.43185E+00
    8.5650   2.4700   8.6000   0.0416   0.4757  0.26960E+03  0.26960E+03  0.00000E+00  0.23804E+03  0.71912E+02  0.00000E+00  0.16612E+03  0.43195E+00
    8.5650   2.4800   8.6000   0.0418   0.4777  0.26995E+03  0.26995E+03  0.00000E+00  0.23747E+03  0.71228E+02  0.00000E+00  0.16624E+03  0.43206E+00
    8.5650   2.4900   8.6000   0.0421   0.4796  0.27030E+03  0.27030E+03  0.00000E+00  0.23691E+03  0.70553E+02  0.00000E+00  0.16635E+03  0.43216E+00
    8.5650   2.5000   8.6000   0.0423   0.4815  0.27065E+03  0.27065E+03  0.00000E+00  0.23636E+03  0.69886E+02  0.00000E+00  0.16647E+03  0.43227E+00
    8.5650   2.5100   8.6000   0.0425   0.4834  0.27101E+03  0.27101E+03  0.00000E+00  0.23582E+03  0.69226E+02  0.00000E+00  0.16659E+03  0.43237E+00
    8.5650   2.5200   8.6000   0.0428   0.4854  0.27136E+03  0.27136E+03  0.00000E+00  0.23529E+03  0.68575E+02  0.00000E+00  0.16671E+03  0.43248E+00
    8.5650   2.5300   8.6000   0.0430   0.4873  0.27172E+03  0.27172E+03  0.00000E+00  0.23476E+03  0.67932E+02  0.00000E+00  0.16683E+03  0.43258E+00
    8.5650   2.5400   8.6000   0.0433   0.4892  0.27208E+03  0.27208E+03  0.00000E+00  0.23424E+03  0.67297E+02  0.00000E+00  0.16695E+03  0.43269E+00
    8.5650   2.5500   8.6000   0.0435   0.4911  0.27245E+03  0.27245E+03  0.00000E+00  0.23375E+03  0.66669E+02  0.00000E+00  0.16708E+03  0.43279E+00
    8.5650   2.5600   8.6000   0.0438   0.4931  0.27282E+03  0.27282E+03  0.00000E+00  0.23325E+03  0.66049E+02  0.00000E+00  0.16720E+03  0.43290E+00
    8.5650   2.5700   8.6000   0.0440   0.4950  0.27318E+03  0.27318E+03  0.00000E+00  0.23276E+03  0.65436E+02  0.00000E+00  0.16732E+03  0.43300E+00
    8.5650   2.5800   8.6000   0.0442   0.4969  0.27356E+03  0.27356E+03  0.00000E+00  0.23228E+03  0.64831E+02  0.00000E+00  0.16745E+03  0.43311E+00
    8.5650   2.5900   8.6000   0.0445   0.4988  0.27393E+03  0.27393E+03  0.00000E+00  0.23181E+03  0.64233E+02  0.00000E+00  0.16757E+03  0.43321E+00
    8.5650   2.6000   8.6000   0.0447   0.5008  0.27431E+03  0.27431E+03  0.00000E+00  0.23136E+03  0.63642E+02  0.00000E+00  0.16771E+03  0.43332E+00
    8.5650   2.6100   8.6000   0.0450   0.5027  0.27468E+03  0.27468E+03  0.00000E+00  0.23090E+03  0.63058E+02  0.00000E+00  0.16784E+03  0.43343E+00
    8.5650   2.6200   8.6000   0.0452   0.5046  0.27507E+03  0.27507E+03  0.00000E+00  0.23046E+03  0.62480E+02  0.00000E+00  0.16798E+03  0.43353E+00
    8.5650   2.6300   8.6000   0.0455   0.5065  0.27545E+03  0.27545E+03  0.00000E+00  0.23002E+03  0.61910E+02  0.00000E+00  0.16811E+03  0.43364E+00
    8.5650   2.6400   8.6000   0.0457   0.5085  0.27583E+03  0.27583E+03  0.00000E+00  0.22955E+03  0.61346E+02  0.00000E+00  0.16821E+03  0.43375E+00
    8.5650   2.6500   8.6000   0.0460   0.5104  0.27622E+03  0.27622E+03  0.00000E+00  0.22913E+03  0.60789E+02  0.00000E+00  0.16834E+03  0.43386E+00
    8.5650   2.6600   8.6000   0.0462   0.5123  0.27661E+03  0.27661E+03  0.00000E+00  0.22871E+03  0.60239E+02  0.00000E+00  0.16847E+03  0.43396E+00
    8.5650   2.6700   8.6000   0.0465   0.5143  0.27701E+03  0.27701E+03  0.00000E+00  0.22830E+03  0.59694E+02  0.00000E+00  0.16861E+03  0.43407E+00
